country,Machiavellianism,Narcissism,Psychopathy
CA,4.666666666666667,4.666666666666667,3.111111111111111
US,3.888888888888889,2.111111111111111,3.4444444444444446
ID,3.3333333333333335,2.6666666666666665,1.7777777777777777
SG,4.222222222222222,3.4444444444444446,3.111111111111111
US,5.0,3.2222222222222223,3.3333333333333335
FR,3.4444444444444446,3.4444444444444446,2.4444444444444446
US,3.5555555555555554,2.7777777777777777,3.2222222222222223
US,4.0,2.7777777777777777,3.888888888888889
US,4.888888888888889,3.3333333333333335,3.7777777777777777
AU,2.5555555555555554,2.5555555555555554,2.0
GB,4.333333333333333,3.7777777777777777,3.888888888888889
ID,3.2222222222222223,3.888888888888889,2.6666666666666665
GB,3.4444444444444446,3.4444444444444446,3.0
US,3.5555555555555554,2.888888888888889,3.5555555555555554
US,3.888888888888889,4.333333333333333,3.4444444444444446
AU,2.2222222222222223,1.5555555555555556,1.4444444444444444
US,4.666666666666667,4.111111111111111,4.333333333333333
GB,4.111111111111111,2.888888888888889,2.5555555555555554
NZ,4.222222222222222,3.3333333333333335,3.111111111111111
AU,4.111111111111111,2.7777777777777777,2.4444444444444446
ID,3.6666666666666665,3.2222222222222223,2.5555555555555554
SE,2.0,1.8888888888888888,2.111111111111111
US,4.222222222222222,2.6666666666666665,2.888888888888889
DE,3.5555555555555554,3.7777777777777777,3.111111111111111
GB,4.0,2.888888888888889,3.0
MY,3.3333333333333335,2.4444444444444446,2.5555555555555554
GB,3.7777777777777777,3.7777777777777777,2.4444444444444446
DE,3.7777777777777777,3.2222222222222223,3.2222222222222223
ID,3.6666666666666665,3.5555555555555554,3.3333333333333335
GB,2.2222222222222223,2.888888888888889,1.3333333333333333
US,3.3333333333333335,3.4444444444444446,1.6666666666666667
GB,3.5555555555555554,3.888888888888889,3.4444444444444446
GB,4.666666666666667,3.4444444444444446,3.7777777777777777
GB,3.2222222222222223,2.2222222222222223,1.8888888888888888
ID,3.4444444444444446,3.2222222222222223,2.7777777777777777
ID,3.111111111111111,3.3333333333333335,1.8888888888888888
GB,3.888888888888889,3.2222222222222223,3.5555555555555554
AU,3.888888888888889,2.6666666666666665,3.3333333333333335
SE,2.5555555555555554,2.4444444444444446,1.8888888888888888
SE,3.4444444444444446,3.888888888888889,2.6666666666666665
SE,3.6666666666666665,3.2222222222222223,3.4444444444444446
AU,4.111111111111111,3.3333333333333335,2.5555555555555554
US,3.5555555555555554,2.888888888888889,2.2222222222222223
GB,3.3333333333333335,3.0,2.5555555555555554
US,4.888888888888889,2.888888888888889,3.7777777777777777
AU,3.7777777777777777,2.888888888888889,1.4444444444444444
GB,4.222222222222222,3.7777777777777777,3.2222222222222223
US,3.6666666666666665,2.4444444444444446,2.2222222222222223
GB,4.0,3.625,2.5555555555555554
NL,2.6666666666666665,2.7777777777777777,2.6666666666666665
GB,2.4444444444444446,2.7777777777777777,2.888888888888889
GB,2.5555555555555554,2.2222222222222223,2.2222222222222223
GB,4.222222222222222,3.2222222222222223,2.7777777777777777
HR,4.222222222222222,4.555555555555555,4.222222222222222
GB,3.3333333333333335,3.0,2.111111111111111
HR,3.2222222222222223,2.111111111111111,2.3333333333333335
EU,3.6666666666666665,3.888888888888889,3.2222222222222223
HR,4.555555555555555,3.5555555555555554,4.0
EU,4.333333333333333,2.6666666666666665,3.111111111111111
US,3.7777777777777777,3.7777777777777777,3.0
NL,4.555555555555555,3.5555555555555554,1.7777777777777777
BA,3.111111111111111,2.5555555555555554,2.111111111111111
US,3.7777777777777777,2.888888888888889,3.2222222222222223
ID,3.888888888888889,3.6666666666666665,3.0
US,4.444444444444445,4.111111111111111,4.111111111111111
AU,2.7777777777777777,2.5555555555555554,1.8888888888888888
HR,4.333333333333333,2.6666666666666665,4.111111111111111
GB,3.3333333333333335,2.111111111111111,2.5555555555555554
GB,5.0,3.2222222222222223,4.111111111111111
GB,3.6666666666666665,3.6666666666666665,2.888888888888889
GB,4.111111111111111,2.6666666666666665,3.111111111111111
GB,3.7777777777777777,2.111111111111111,2.4444444444444446
DE,3.3333333333333335,3.3333333333333335,2.888888888888889
GB,4.111111111111111,3.2222222222222223,3.111111111111111
GB,3.5555555555555554,3.2222222222222223,2.5555555555555554
US,3.888888888888889,3.5555555555555554,1.6666666666666667
US,3.888888888888889,3.6666666666666665,3.6666666666666665
DE,4.555555555555555,3.0,2.5555555555555554
GB,4.444444444444445,3.7777777777777777,2.6666666666666665
GB,3.6666666666666665,2.5555555555555554,2.7777777777777777
GB,4.111111111111111,3.3333333333333335,4.111111111111111
IE,4.333333333333333,3.2222222222222223,3.2222222222222223
GB,2.4444444444444446,3.3333333333333335,1.7777777777777777
GB,3.5,2.4444444444444446,2.6666666666666665
CZ,4.555555555555555,4.222222222222222,3.2222222222222223
US,3.3333333333333335,3.111111111111111,2.3333333333333335
